,Year,Match_Number,Time,Stadium,Team1,Team1_score,Team1_Overs_Played,Team2,Team2_score,Team2_Overs_Played,Win_team
541,2016,Match 33,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,162/7,20/20,Rising Pune Supergiant,166/3,19.1/20,Rising Pune Supergiant
542,2016,Match 32,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,164/3,20/20,Punjab Kings,157/9,20/20,Kolkata Knight Riders
543,2016,Match 31,20:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,149/7,20/20,Delhi Capitals,150/2,17.2/20,Delhi Capitals
544,2016,Match 30,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,185/7,20/20,Kolkata Knight Riders,189/5,19.1/20,Kolkata Knight Riders
545,2016,Match 29,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,159/5,20/20,Mumbai Indians,161/2,18.3/20,Mumbai Indians
546,2016,Match 28,16:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,131/9,20/20,Punjab Kings,154,19.5/20,Punjab Kings
547,2016,Match 27,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,194/5,20/20,Royal Challengers Bangalore,179/6,20/20,Sunrisers Hyderabad
548,2016,Match 26,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,186/8,20/20,Kolkata Knight Riders,159,18.3/20,Delhi Capitals
549,2016,Match 25,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,195/3,20/20,Gujarat Lions,196/7,20/20,Gujarat Lions
550,2016,Match 24,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,178/4,18/20,Kolkata Knight Riders,174/5,20/20,Mumbai Indians
551,2016,Match 23,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,171/5,20/20,Gujarat Lions,172/6,20/20,Gujarat Lions
552,2016,Match 22,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,118/8,20/20,Rising Pune Supergiant,94/3,11/11,Rising Pune Supergiant
553,2016,Match 21,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,164/7,20/20,Mumbai Indians,189/6,20/20,Mumbai Indians
554,2016,Match 20,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,160/5,20/20,Kolkata Knight Riders,162/8,19.3/20,Kolkata Knight Riders
555,2016,Match 19,16:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,182/4,19.3/20,Royal Challengers Bangalore,180/2,20/20,Gujarat Lions
556,2016,Match 18,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,146/5,17.5/20,Punjab Kings,143/6,20/20,Sunrisers Hyderabad
557,2016,Match 17,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,164/4,20/20,Mumbai Indians,154/7,20/20,Delhi Capitals
558,2016,Match 16,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,172/8,20/20,Royal Challengers Bangalore,185/3,20/20,Royal Challengers Bangalore
559,2016,Match 15,20:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,135/8,20/20,Sunrisers Hyderabad,137/0,14.5/20,Sunrisers Hyderabad
560,2016,Match 14,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,171/4,18/20,Royal Challengers Bangalore,170/7,20/20,Mumbai Indians
561,2016,Match 13,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,138/8,20/20,Kolkata Knight Riders,141/4,17.1/20,Kolkata Knight Riders
562,2016,Match 12,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,145/3,17.3/20,Mumbai Indians,142/6,20/20,Sunrisers Hyderabad
563,2016,Match 11,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,191/5,20/20,Delhi Capitals,192/3,19.1/20,Delhi Capitals
564,2016,Match 10,16:00,"IS Bindra Stadium, Mohali",Punjab Kings,153/4,18.4/20,Rising Pune Supergiant,152/7,20/20,Punjab Kings
565,2016,Match 9,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,143/8,20/20,Gujarat Lions,147/7,20/20,Gujarat Lions
566,2016,Match 8,16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,142/7,20/20,Kolkata Knight Riders,146/2,18.2/20,Kolkata Knight Riders
567,2016,Match 7,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,113/2,13.3/20,Punjab Kings,111/9,20/20,Delhi Capitals
568,2016,Match 6,20:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,164/3,18/20,Rising Pune Supergiant,163/5,20/20,Gujarat Lions
569,2016,Match 5,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,187/5,20/20,Mumbai Indians,188/4,19.1/20,Mumbai Indians
570,2016,Match 4,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,227/4,20/20,Sunrisers Hyderabad,182/6,20/20,Royal Challengers Bangalore
571,2016,Match 3,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,161/6,20/20,Gujarat Lions,162/5,17.4/20,Gujarat Lions
572,2016,Match 2,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,99/1,14.1/20,Delhi Capitals,98,17.4/20,Kolkata Knight Riders
573,2016,Match 1,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,121/8,20/20,Rising Pune Supergiant,126/1,14.4/20,Rising Pune Supergiant
574,2017,Final,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Rising Pune Supergiant,128/5,20/20,Mumbai Indians,129/8,20/20,Mumbai Indians
575,2017,Qualifier 2,20:00,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,111/4,14.3/20,Kolkata Knight Riders,107,18.5/20,Mumbai Indians
576,2017,Eliminator,20:00,"M. Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,128/7,20/20,Kolkata Knight Riders,48/3,2/6,Kolkata Knight Riders
577,2017,Qualifier 1,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,142/9,20/20,Rising Pune Supergiant,162/4,20/20,Rising Pune Supergiant
578,2017,Match 56,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,151,20/20,Royal Challengers Bangalore,161/6,20/20,Royal Challengers Bangalore
579,2017,Match 55,16:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,78/1,12/20,Punjab Kings,73,15.5/20,Rising Pune Supergiant
580,2017,Match 54,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,164/8,20/20,Mumbai Indians,173/5,20/20,Mumbai Indians
581,2017,Match 53,16:00,"Green Park, Kanpur",Gujarat Lions,154,19.2/20,Sunrisers Hyderabad,158/2,18.1/20,Sunrisers Hyderabad
582,2017,Match 52,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,168/8,20/20,Rising Pune Supergiant,161/7,20/20,Delhi Capitals
583,2017,Match 51,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,223/6,20/20,Punjab Kings,230/3,20/20,Punjab Kings
584,2017,Match 50,20:00,"Green Park, Kanpur",Gujarat Lions,195/5,20/20,Delhi Capitals,197/8,19.4/20,Delhi Capitals
585,2017,Match 49,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,167/6,20/20,Kolkata Knight Riders,153/6,20/20,Punjab Kings
586,2017,Match 48,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,140/3,18.2/20,Mumbai Indians,138/7,20/20,Sunrisers Hyderabad
587,2017,Match 47,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,189/3,20/20,Gujarat Lions,192/4,19.4/20,Gujarat Lions
588,2017,Match 46,16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,158/6,20/20,Kolkata Knight Riders,159/4,15.1/20,Kolkata Knight Riders
589,2017,Match 45,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,66,13.4/20,Mumbai Indians,212/3,20/20,Mumbai Indians
590,2017,Match 44,16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,136/9,20/20,Rising Pune Supergiant,148/8,20/20,Rising Pune Supergiant
591,2017,Match 43,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,119,19/20,Punjab Kings,138/7,20/20,Punjab Kings
592,2017,Match 42,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,214/3,17.3/20,Gujarat Lions,208/7,20/20,Delhi Capitals
593,2017,Match 41,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,155/8,20/20,Rising Pune Supergiant,158/6,19.2/20,Rising Pune Supergiant
594,2017,Match 40,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,189/4,19.1/20,Sunrisers Hyderabad,185/3,20/20,Delhi Capitals
595,2017,Match 39,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,167/5,19.5/20,Gujarat Lions,161,19.5/20,Rising Pune Supergiant
596,2017,Match 38,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,165/5,19.5/20,Royal Challengers Bangalore,162/8,20/20,Mumbai Indians
597,2017,Match 37,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,209/3,20/20,Kolkata Knight Riders,161/7,20/20,Sunrisers Hyderabad
598,2017,Match 36,16:00,"IS Bindra Stadium, Mohali",Punjab Kings,68/0,5/20,Delhi Capitals,67,17.1/20,Punjab Kings
599,2017,Match 35,20:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,153/9,20/20,Mumbai Indians,153,20/20,Mumbai Indians
600,2017,Match 34,16:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,157/3,20/20,Royal Challengers Bangalore,96/9,20/20,Rising Pune Supergiant
601,2017,Match 33,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,181/9,20/20,Sunrisers Hyderabad,207/3,20/20,Sunrisers Hyderabad
602,2017,Match 32,16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,161/3,16.2/20,Delhi Capitals,160/6,20/20,Kolkata Knight Riders
603,2017,Match 31,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,134,20/20,Gujarat Lions,135/3,13.5/20,Gujarat Lions
604,2017,Match 30,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,182/5,20/20,Kolkata Knight Riders,184/3,18.1/20,Kolkata Knight Riders
605,2017,Match 28,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,157/8,20/20,Rising Pune Supergiant,160/6,20/20,Rising Pune Supergiant
606,2017,Match 27,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,131,19.3/20,Royal Challengers Bangalore,49,4/20,Kolkata Knight Riders
607,2017,Match 26,16:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,162/7,20/20,Punjab Kings,188/7,20/20,Punjab Kings
608,2017,Match 25,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,142/8,20/20,Delhi Capitals,128/7,20/20,Mumbai Indians
609,2017,Match 24,16:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,179/4,20/20,Sunrisers Hyderabad,176/3,20/20,Rising Pune Supergiant
610,2017,Match 23,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,187/5,20/20,Gujarat Lions,188/6,18.2/20,Gujarat Lions
611,2017,Match 22,20:00,"Holkar Cricket Stadium, Indore",Punjab Kings,198/4,20/20,Mumbai Indians,199/2,15.3/20,Mumbai Indians
612,2017,Match 21,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,191/4,20/20,Delhi Capitals,176/5,20/20,Sunrisers Hyderabad
613,2017,Match 20,20:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,192/7,20/20,Royal Challengers Bangalore,213/2,20/20,Royal Challengers Bangalore
614,2017,Match 19,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,159/6,20/20,Punjab Kings,154,19.4/20,Sunrisers Hyderabad
615,2017,Match 18,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,168/7,20/20,Kolkata Knight Riders,169/6,19.5/20,Kolkata Knight Riders
616,2017,Match 17,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,134/9,20/20,Rising Pune Supergiant,161/8,20/20,Rising Pune Supergiant
617,2017,Match 16,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,177/4,19.3/20,Gujarat Lions,176/4,20/20,Mumbai Indians
618,2017,Match 15,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,188/6,20/20,Punjab Kings,137/9,20/20,Delhi Capitals
619,2017,Match 14,16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,172/6,20/20,Sunrisers Hyderabad,155/6,20/20,Kolkata Knight Riders
620,2017,Match 13,20:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,172/3,18/20,Rising Pune Supergiant,171/8,20/20,Gujarat Lions
621,2017,Match 12,16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,142/5,20/20,Mumbai Indians,145/6,18.5/20,Mumbai Indians
622,2017,Match 11,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,171/2,16.3/20,Punjab Kings,170/9,20/20,Kolkata Knight Riders
623,2017,Match 10,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,159/6,18.4/20,Sunrisers Hyderabad,158/8,20/20,Mumbai Indians
624,2017,Match 9,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,108,16.1/20,Delhi Capitals,205/4,20/20,Delhi Capitals
625,2017,Match 8,20:00,"Holkar Cricket Stadium, Indore",Punjab Kings,150/2,14.3/20,Royal Challengers Bangalore,148/4,20/20,Punjab Kings
626,2017,Match 7,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,180/6,19.5/20,Kolkata Knight Riders,178/7,20/20,Mumbai Indians
627,2017,Match 6,16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,140/1,15.3/20,Gujarat Lions,135/7,20/20,Sunrisers Hyderabad
628,2017,Match 5,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,157/8,20/20,Delhi Capitals,142/9,20/20,Royal Challengers Bangalore
629,2017,Match 4,16:00,"Holkar Cricket Stadium, Indore",Punjab Kings,164/4,19/20,Rising Pune Supergiant,163/6,20/20,Punjab Kings
630,2017,Match 3,20:00,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,183/4,20/20,Kolkata Knight Riders,184/0,14.5/20,Kolkata Knight Riders
631,2017,Match 2,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Rising Pune Supergiant,187/3,19.5/20,Mumbai Indians,184/8,20/20,Rising Pune Supergiant
632,2017,Match 1,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,207/4,20/20,Royal Challengers Bangalore,172,19.4/20,Sunrisers Hyderabad
633,2018,Final,19:00,"Wankhede Stadium, Mumbai",Chennai Super Kings,181/2,18.3/20,Sunrisers Hyderabad,178/6,20/20,Chennai Super Kings
634,2018,Qualifier 2,19:00,"Eden Gardens, Kolkata",Sunrisers Hyderabad,174/7,20/20,Kolkata Knight Riders,160/9,20/20,Sunrisers Hyderabad
635,2018,Eliminator,19:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,169/7,20/20,Rajasthan Royals,144/4,20/20,Kolkata Knight Riders
636,2018,Qualifier 1,19:00,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,139/7,20/20,Chennai Super Kings,140/8,19.1/20,Chennai Super Kings
637,2018,Match 56,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Chennai Super Kings,159/5,19.1/20,Punjab Kings,153,19.4/20,Chennai Super Kings
638,2018,Match 55,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,174/4,20/20,Mumbai Indians,163,19.3/20,Delhi Capitals
639,2018,Match 54,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,172/9,20/20,Kolkata Knight Riders,173/5,19.4/20,Kolkata Knight Riders
640,2018,Match 53,16:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,164/5,20/20,Royal Challengers Bangalore,134,19.2/20,Rajasthan Royals
641,2018,Match 52,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,162/5,20/20,Chennai Super Kings,128/6,20/20,Delhi Capitals
642,2018,Match 51,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,218/6,20/20,Sunrisers Hyderabad,204/3,20/20,Royal Challengers Bangalore
643,2018,Match 50,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,186/8,20/20,Punjab Kings,183/5,20/20,Mumbai Indians
644,2018,Match 49,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,145/4,18/20,Rajasthan Royals,142,19/20,Kolkata Knight Riders
645,2018,Match 48,20:00,"Holkar Cricket Stadium, Indore",Punjab Kings,88,15.1/20,Royal Challengers Bangalore,92/0,1/20,Royal Challengers Bangalore
646,2018,Match 47,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,168/6,20/20,Rajasthan Royals,171/3,18/20,Rajasthan Royals
647,2018,Match 46,16:00,"Maharashtra Cricket Association's International Stadium, Pune",Chennai Super Kings,180/2,19/20,Sunrisers Hyderabad,179/4,20/20,Chennai Super Kings
648,2018,Match 45,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,181/4,20/20,Royal Challengers Bangalore,187/5,19/20,Royal Challengers Bangalore
649,2018,Match 44,16:00,"Holkar Cricket Stadium, Indore",Punjab Kings,214/8,20/20,Kolkata Knight Riders,245/6,20/20,Kolkata Knight Riders
650,2018,Match 43,20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,177/6,19.5/20,Chennai Super Kings,176/4,20/20,Rajasthan Royals
651,2018,Match 42,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,187/5,20/20,Sunrisers Hyderabad,191/1,18.5/20,Sunrisers Hyderabad
652,2018,Match 41,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,108,18.1/20,Mumbai Indians,210/6,20/20,Mumbai Indians
653,2018,Match 40,20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,158/8,20/20,Punjab Kings,143/7,20/20,Rajasthan Royals
654,2018,Match 39,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,146,20/20,Royal Challengers Bangalore,141/6,20/20,Sunrisers Hyderabad
655,2018,Match 38,20:00,"Holkar Cricket Stadium, Indore",Punjab Kings,155/4,18.4/20,Rajasthan Royals,152/9,20/20,Punjab Kings
656,2018,Match 37,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,181/4,20/20,Kolkata Knight Riders,168/6,20/20,Mumbai Indians
657,2018,Match 36,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,164/3,19.5/20,Delhi Capitals,163/5,20/20,Sunrisers Hyderabad
658,2018,Match 35,16:00,"Maharashtra Cricket Association's International Stadium, Pune",Chennai Super Kings,128/4,18/20,Royal Challengers Bangalore,127/9,20/20,Chennai Super Kings
659,2018,Match 34,20:00,"Holkar Cricket Stadium, Indore",Punjab Kings,174/6,20/20,Mumbai Indians,176/4,19/20,Mumbai Indians
660,2018,Match 33,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,180/4,17.4/20,Chennai Super Kings,177/5,20/20,Kolkata Knight Riders
661,2018,Match 32,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,196/6,17.1/17,Rajasthan Royals,146/5,12/12,Delhi Capitals
662,2018,Match 31,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,167/7,20/20,Mumbai Indians,153/7,20/20,Royal Challengers Bangalore
663,2018,Match 30,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Chennai Super Kings,211/4,20/20,Delhi Capitals,198/5,20/20,Chennai Super Kings
664,2018,Match 29,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,175/4,20/20,Kolkata Knight Riders,176/4,19.1/20,Kolkata Knight Riders
665,2018,Match 28,16:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,140/6,20/20,Sunrisers Hyderabad,151/7,20/20,Sunrisers Hyderabad
666,2018,Match 27,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Chennai Super Kings,169/5,20/20,Mumbai Indians,170/2,19.4/20,Mumbai Indians
667,2018,Match 26,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,219/4,20/20,Kolkata Knight Riders,164/9,20/20,Delhi Capitals
668,2018,Match 25,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,132/6,20/20,Punjab Kings,119,19.2/20,Sunrisers Hyderabad
669,2018,Match 24,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,205/8,20/20,Chennai Super Kings,207/5,19.4/20,Chennai Super Kings
670,2018,Match 23,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,87,18.5/20,Sunrisers Hyderabad,118,18.4/20,Sunrisers Hyderabad
671,2018,Match 22,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,139/8,20/20,Punjab Kings,143/8,20/20,Punjab Kings
672,2018,Match 21,20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,168/7,19.4/20,Mumbai Indians,167/7,20/20,Rajasthan Royals
673,2018,Match 20,16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,178/6,20/20,Chennai Super Kings,182/3,20/20,Chennai Super Kings
674,2018,Match 19,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,176/4,18/20,Delhi Capitals,174/5,20/20,Royal Challengers Bangalore
675,2018,Match 18,16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,191/7,20/20,Punjab Kings,126/1,11.1/13,Punjab Kings
676,2018,Match 17,20:00,"Maharashtra Cricket Association's International Stadium, Pune",Chennai Super Kings,204/5,20/20,Rajasthan Royals,140,18.3/20,Chennai Super Kings
677,2018,Match 16,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,193/3,20/20,Sunrisers Hyderabad,178/4,20/20,Punjab Kings
678,2018,Match 15,20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,160/8,20/20,Kolkata Knight Riders,163/3,18.5/20,Kolkata Knight Riders
679,2018,Match 14,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,213/6,20/20,Royal Challengers Bangalore,167/8,20/20,Mumbai Indians
680,2018,Match 13,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,200/9,20/20,Delhi Capitals,129,14.2/20,Kolkata Knight Riders
681,2018,Match 12,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,197/7,20/20,Chennai Super Kings,193/5,20/20,Punjab Kings
682,2018,Match 11,16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,198/6,20/20,Rajasthan Royals,217/4,20/20,Rajasthan Royals
683,2018,Match 10,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,138/8,20/20,Sunrisers Hyderabad,139/5,19/20,Sunrisers Hyderabad
684,2018,Match 9,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,194/7,20/20,Delhi Capitals,195/3,20/20,Delhi Capitals
685,2018,Match 8,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,159/6,19.3/20,Punjab Kings,155,19.2/20,Royal Challengers Bangalore
686,2018,Match 7,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,151/9,20/20,Mumbai Indians,147/8,20/20,Sunrisers Hyderabad
687,2018,Match 6,20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,153/5,17.5/17,Delhi Capitals,60/4,6/6,Rajasthan Royals
688,2018,Match 5,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,205/5,19.5/20,Kolkata Knight Riders,202/6,20/20,Chennai Super Kings
689,2018,Match 4,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,127/1,15.5/20,Rajasthan Royals,125/9,20/20,Sunrisers Hyderabad
690,2018,Match 3,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,177/6,18.5/20,Royal Challengers Bangalore,176/7,20/20,Kolkata Knight Riders
691,2018,Match 2,16:00,"IS Bindra Stadium, Mohali",Punjab Kings,167/4,18.5/20,Delhi Capitals,166/7,20/20,Punjab Kings
692,2018,Match 1,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,165/4,20/20,Chennai Super Kings,169/9,19.5/20,Chennai Super Kings
693,2019,Final,19:30,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Mumbai Indians,149/8,20/20,Chennai Super Kings,148/7,20/20,Mumbai Indians
694,2019,Qualifier 2,19:30,"ACA-VDCA Stadium, Visakhapatnam",Chennai Super Kings,151/4,19/20,Delhi Capitals,147/9,20/20,Chennai Super Kings
695,2019,Eliminator,19:30,"ACA-VDCA Stadium, Visakhapatnam",Delhi Capitals,165/8,19.5/20,Sunrisers Hyderabad,162/8,20/20,Delhi Capitals
696,2019,Qualifier 1,19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,132/4,18.3/20,Chennai Super Kings,131/4,20/20,Mumbai Indians
697,2019,Match 56,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,134/1,16.1/20,Kolkata Knight Riders,133/7,20/20,Mumbai Indians
698,2019,Match 55,16:00,"IS Bindra Stadium, Mohali",Punjab Kings,173/4,18/20,Chennai Super Kings,170/5,20/20,Punjab Kings
699,2019,Match 54,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,178/6,19.2/20,Sunrisers Hyderabad,175/7,20/20,Royal Challengers Bangalore
700,2019,Match 53,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,121/5,16.1/20,Rajasthan Royals,115/9,20/20,Delhi Capitals
701,2019,Match 52,20:00,"IS Bindra Stadium, Mohali",Punjab Kings,183/6,20/20,Kolkata Knight Riders,185/3,18/20,Kolkata Knight Riders
702,2019,Match 51,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,162/5,20/20,Sunrisers Hyderabad,162/6,20/20,Mumbai Indians
703,2019,Match 50,20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,179/4,20/20,Delhi Capitals,99,16.2/20,Chennai Super Kings
704,2019,Match 48,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,212/6,20/20,Punjab Kings,167/8,20/20,Sunrisers Hyderabad
705,2019,Match 47,20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,232/2,20/20,Mumbai Indians,198/7,20/20,Kolkata Knight Riders
706,2019,Match 46,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,187/5,20/20,Royal Challengers Bangalore,171/7,20/20,Delhi Capitals
