,Year,Match_Number,Time,Stadium,Team1,Team1_score,Team1_Overs_Played,Team2,Team2_score,Team2_Overs_Played,Win_team
416,2014,Match 41,20:00,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,201/6,20/20,Delhi Capitals,139/9,20/20,Rajasthan Royals
417,2014,Match 40,20:00,"Barabati Stadium, Cuttack",Kolkata Knight Riders,142/4,18.4/20,Mumbai Indians,141/5,20/20,Kolkata Knight Riders
418,2014,Match 39,16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,205/5,20/20,Punjab Kings,211/4,18.4/20,Punjab Kings
419,2014,Match 38,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,186/4,20/20,Delhi Capitals,170/7,20/20,Royal Challengers Bangalore
420,2014,Match 37,16:00,"JSCA International Cricket Stadium, Ranchi",Chennai Super Kings,149/5,19.4/20,Rajasthan Royals,148/8,20/20,Chennai Super Kings
421,2014,Match 36,20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,157/3,20/20,Mumbai Indians,160/3,18.4/20,Mumbai Indians
422,2014,Match 35,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,190/5,20/20,Rajasthan Royals,191/5,18.5/20,Rajasthan Royals
423,2014,Match 34,16:00,"Barabati Stadium, Cuttack",Punjab Kings,149/8,20/20,Kolkata Knight Riders,150/1,18/20,Kolkata Knight Riders
424,2014,Match 33,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,157/6,20/20,Chennai Super Kings,160/6,19.3/20,Chennai Super Kings
425,2014,Match 32,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,143/7,20/20,Sunrisers Hyderabad,44/2,2/5,Sunrisers Hyderabad
426,2014,Match 31,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,166/9,20/20,Punjab Kings,198/8,20/20,Punjab Kings
427,2014,Match 30,20:00,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,102,19.5/20,Sunrisers Hyderabad,134/9,20/20,Sunrisers Hyderabad
428,2014,Match 29,20:00,"Barabati Stadium, Cuttack",Punjab Kings,231/4,20/20,Chennai Super Kings,187/6,20/20,Punjab Kings
429,2014,Match 28,16:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,160/5,20/20,Kolkata Knight Riders,161/2,18.2/20,Kolkata Knight Riders
430,2014,Match 27,20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,187/5,20/20,Royal Challengers Bangalore,168/8,20/20,Mumbai Indians
431,2014,Match 26,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,178/5,20/20,Chennai Super Kings,181/2,19.4/20,Chennai Super Kings
432,2014,Match 25,16:00,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,170/6,20/20,Kolkata Knight Riders,160/6,20/20,Rajasthan Royals
433,2014,Match 24,20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,158/6,19.5/20,Sunrisers Hyderabad,155/6,20/20,Royal Challengers Bangalore
434,2014,Match 23,20:00,"Arun Jaitley Stadium, Delhi",Delhi Capitals,152/5,20/20,Rajasthan Royals,156/3,18.3/20,Rajasthan Royals
435,2014,Match 22,16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,170/5,19.1/20,Punjab Kings,168/5,20/20,Mumbai Indians
436,2014,Match 21,20:00,"JSCA International Cricket Stadium, Ranchi",Chennai Super Kings,148/3,17/17,Kolkata Knight Riders,114/9,17/17,Chennai Super Kings
437,2014,Match 20,20:00,"Dubai International Cricket Stadium, Dubai",Mumbai Indians,157/7,20/20,Sunrisers Hyderabad,172/5,20/20,Sunrisers Hyderabad
438,2014,Match 19,20:00,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,152/8,20/20,Rajasthan Royals,152/5,20/20,Rajasthan Royals
439,2014,Match 18,20:00,"Dubai International Cricket Stadium, Dubai",Punjab Kings,127/5,18.5/20,Royal Challengers Bangalore,124/8,20/20,Punjab Kings
440,2014,Match 17,20:00,"Sharjah Cricket Stadium, Sharjah",Sunrisers Hyderabad,145/5,20/20,Chennai Super Kings,146/5,19.3/20,Chennai Super Kings
441,2014,Match 16,16:00,"Sharjah Cricket Stadium, Sharjah",Delhi Capitals,126/4,18.5/20,Mumbai Indians,125/6,20/20,Delhi Capitals
442,2014,Match 15,20:00,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,109,18.2/20,Punjab Kings,132/9,20/20,Punjab Kings
443,2014,Match 14,16:00,"Zayed Cricket Stadium, Abu Dhabi",Rajasthan Royals,71/4,13/20,Royal Challengers Bangalore,70,15/20,Rajasthan Royals
444,2014,Match 13,20:00,"Dubai International Cricket Stadium, Dubai",Chennai Super Kings,142/3,19/20,Mumbai Indians,141/7,20/20,Chennai Super Kings
445,2014,Match 12,16:00,"Dubai International Cricket Stadium, Dubai",Sunrisers Hyderabad,184/1,20/20,Delhi Capitals,180/4,20/20,Sunrisers Hyderabad
